time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,att_phi,att_theta,att_psi,distance_est,centroid_x,centroid_y,divergence,true_divergence,divergence_sp,dt,raw_divergence,color_count,mu_x,p_output,i_output,mu_y, mu_z,rpm_obs_1,rpm_obs_2,rpm_obs_3,rpm_obs_4,rpm_ref_1,rpm_ref_2,rpm_ref_3,rpm_ref_4,ekf_X1,ekf_X2,ekf_X3,ekf_X4,ekf_X5,ekf_X6,ekf_X7,ekf_X8,ekf_X9,ekf_X10,ekf_X11,ekf_X12,ekf_X13,ekf_X14,ekf_X15,ekf_U1,ekf_U2,ekf_U3,ekf_U4,ekf_U5,ekf_U6,ekf_Z1,ekf_Z2,ekf_Z3,ekf_Z4,cmd_thrust,cmd_roll,cmd_pitch,cmd_yaw
0 days 00:00:37.457687,-5.0437342727272725,1.558521090909091,-0.5127089696969698,0.029296030303030303,0.04522748484848485,0.027736272727272727,0.5623316363636364,-0.20822472727272728,-0.09497687878787875,-0.009769363636363635,-0.02592551515151515,-0.13082527272727273,10.0,-7.0,34.06060606060606,0.0,0.0,0.0,0.065,0.0,585.7272727272727,0.0,0.0,0.0,0.0,0.0,7567.060606060606,7720.454545454545,7272.151515151515,7419.060606060606,7559.060606060606,7720.878787878788,7280.787878787879,7416.393939393939,-1.1437342727272728,1.058521090909091,-1.2127089696969697,0.029296030303030303,0.04522748484848485,0.027736272727272727,-0.009769363636363635,-0.02592551515151515,-0.13082527272727273,-0.302616,0.045985,0.016994,-0.003951,-0.024258,0.004107,-0.25831560606060605,0.03737569696969697,-9.90500715151515,0.028253757575757578,0.031671787878787876,0.005164030303030303,-1.145192,1.053282,-1.227503,0.015673,6346.060606060606,-13.121212121212121,290.8787878787879,210.0
0 days 00:00:37.522687,-5.042403882352941,1.5601442941176469,-0.5135005294117647,0.0388554705882353,0.036014500000000005,0.022453941176470586,0.2586859411764706,-0.16130932352941177,0.11608508823529409,-0.009446352941176472,-0.022200941176470586,-0.13084282352941176,10.0,-6.794117647058823,33.970588235294116,0.0,0.00020705882352941177,0.0,0.07983270588235294,0.0,549.3529411764706,0.0,0.0,0.0,0.0008823529411764705,0.29147058823529415,7560.235294117647,7705.088235294118,7281.088235294118,7423.617647058823,7459.35294117647,7585.558823529412,7147.441176470588,7283.088235294118,-1.1424038823529412,1.0601442941176469,-1.2135005294117647,0.0388554705882353,0.036014500000000005,0.022453941176470586,-0.009446352941176472,-0.022200941176470586,-0.13084282352941176,-0.3028108529411765,0.045465882352941175,0.017100617647058825,-0.003947323529411764,-0.024260941176470586,0.004118029411764706,-0.5329733823529412,0.04219329411764706,-9.679285411764706,-0.015876323529411766,0.007984794117647059,0.009499970588235295,-1.1457618529411764,1.0552084705882354,-1.226721382352941,0.012053882352941176,6154.088235294118,4.676470588235294,306.44117647058823,189.94117647058823
0 days 00:00:37.587687,-5.040362212121212,1.561667696969697,-0.5122468787878787,0.043615272727272725,0.026458878787878788,0.06411833333333333,0.5710753030303031,-0.25418478787878784,0.09554975757575752,-0.008429363636363636,-0.0186849696969697,-0.13122606060606062,10.0,-6.151515151515151,30.757575757575758,0.0,0.008019151515151514,0.0,0.002056969696969697,0.0,505.3030303030303,-1.5,0.0,0.0,-6.977834060606061,9.413114545454544,7325.212121212121,7520.69696969697,7226.272727272727,7245.969696969697,7325.424242424242,7915.606060606061,8237.636363636364,7673.333333333333,-1.1403622121212122,1.061667696969697,-1.2122468787878786,0.043615272727272725,0.026458878787878788,0.06411833333333333,-0.008429363636363636,-0.0186849696969697,-0.13122606060606062,-0.3028980909090909,0.04519778787878788,0.017154151515151515,-0.003945272727272728,-0.024262848484848484,0.004123818181818182,-0.14109854545454545,-0.021277363636363622,-9.706261848484848,4.4424242424241434e-05,0.020936939393939393,-0.0009766060606060608,-1.1459684545454545,1.0561388484848484,-1.2260122424242426,0.010530636363636364,6679.636363636364,-576.3636363636364,-334.3030303030303,50.18181818181818
0 days 00:00:37.652687,-5.03954303030303,1.5615916363636364,-0.514230393939394,0.04068909090909091,0.004087090909090909,-0.08766136363636363,0.3859464545454546,-0.7535714242424243,-2.7914737575757576,-0.04581330303030303,-0.0493920303030303,-0.13174433333333332,10.0,-7.666666666666667,35.0,0.0033129090909090908,0.00799290909090909,0.0,0.002056969696969697,0.02436,577.0,-1.5,0.0,0.0,-3.3074483636363636,9.59926609090909,8303.90909090909,8579.787878787878,8931.424242424242,8248.969696969696,8246.151515151516,8024.969696969697,7988.606060606061,7761.606060606061,-1.1395430303030303,1.0615916363636364,-1.214230393939394,0.04068909090909091,0.004087090909090909,-0.08766136363636363,-0.04581330303030303,-0.0493920303030303,-0.13174433333333332,-0.303022,0.044609,0.017264,-0.00394,-0.024269,0.004137,-0.8006924242424242,-0.06744209090909091,-12.621715121212121,-1.3834339696969697,-1.1240604848484848,-0.04358275757575758,-1.145979,1.057856,-1.222911,0.008933,7067.545454545455,-2.8484848484848486,259.969696969697,-316.3030303030303
0 days 00:00:37.717687,-5.037517424242424,1.558919909090909,-0.524148606060606,0.07719815151515151,-0.06899175757575757,-0.1697671212121212,1.2651226363636363,-1.5375783636363636,-0.4157513030303031,-0.13521930303030302,-0.12177442424242425,-0.13277130303030302,10.0,-8.454545454545455,35.0,-0.009249636363636364,0.010657212121212121,0.0,0.0025713333333333335,-0.06221751515151515,569.3636363636364,-1.5,0.0,0.0,-0.49500000000000005,9.758349363636365,8420.272727272728,7544.69696969697,6972.636363636364,7505.545454545455,8257.939393939394,7639.606060606061,6778.424242424242,7573.787878787879,-1.1375174242424242,1.058919909090909,-1.224148606060606,0.07719815151515151,-0.06899175757575757,-0.1697671212121212,-0.13521930303030302,-0.12177442424242425,-0.13277130303030302,-0.3024468181818182,0.046411696969696964,0.017250181818181817,-0.003935969696969697,-0.024274181818181816,0.004148515151515151,-0.396632393939394,0.1112098484848485,-10.405125515151516,-0.7210656363636364,-0.803111696969697,-0.1325609696969697,-1.1453951818181818,1.0560556060606061,-1.226223909090909,0.020259878787878785,6442.272727272727,705.7878787878788,771.3939393939394,125.03030303030303
0 days 00:00:37.782687,-5.031884382352941,1.5505162941176471,-0.535922794117647,0.13792473529411767,-0.16304379411764705,-0.16849182352941178,1.1953291176470588,-1.2313891764705882,0.2654575,-0.10910970588235294,-0.137968,-0.13618420588235294,10.0,-3.7058823529411766,34.73529411764706,-0.006995764705882355,0.01756123529411765,0.0,0.0024955588235294115,-0.033421823529411754,572.5,-1.5,0.0,0.0,-0.4498741176470588,10.09930794117647,7765.382352941177,7895.294117647059,6848.764705882353,7652.323529411765,7695.088235294118,8161.117647058823,7235.470588235294,7777.794117647059,-1.1318843823529412,1.0505162941176471,-1.235922794117647,0.13792473529411767,-0.16304379411764705,-0.16849182352941178,-0.10910970588235294,-0.137968,-0.13618420588235294,-0.30203076470588236,0.04790529411764705,0.017238235294117644,-0.0039327058823529415,-0.024278588235294118,0.004157941176470588,-0.5624713235294118,0.040010323529411765,-9.678308794117648,1.1206342352941177,0.11177323529411765,-0.027824941176470587,-1.1444905882352943,1.053939117647059,-1.2295308235294116,0.031143823529411762,6660.941176470588,38.1764705882353,420.8529411764706,711.6470588235294
0 days 00:00:37.847687,-5.0234100303030305,1.5365002424242424,-0.5489673636363639,0.20963127272727272,-0.22675030303030302,-0.2404070606060606,1.5969055757575759,-0.6522562727272727,-2.14591403030303,-0.03311918181818182,-0.1190089696969697,-0.13597381818181817,10.0,11.0,34.0,0.064089,0.027741,0.0,0.0,0.50343,610.0,-1.5,0.0,0.0,-0.303215,11.198565,7953.212121212121,8695.787878787878,7847.848484848485,8186.242424242424,7930.727272727273,8709.969696969696,8046.757575757576,8179.69696969697,-1.1234100303030303,1.0365002424242424,-1.2489673636363638,0.20963127272727272,-0.22675030303030302,-0.2404070606060606,-0.03311918181818182,-0.1190089696969697,-0.13597381818181817,-0.302155,0.05055,0.01721,-0.003928,-0.024288,0.004173,-0.3882575454545455,0.022964,-12.057794727272727,0.9700595151515151,0.31175278787878785,0.07266512121212121,-1.1369,1.041301,-1.243384,0.071749,7366.0,-322.6666666666667,206.6969696969697,643.9090909090909
0 days 00:00:37.912687,-5.009674969696969,1.5207825454545454,-0.568308484848485,0.26755399999999996,-0.24729536363636365,-0.3609051818181818,1.0574247575757574,-0.1076051515151515,-1.4048209393939395,2.133333333333333e-05,-0.10232063636363636,-0.13143806060606059,10.0,17.060606060606062,31.727272727272727,0.021719545454545453,0.04239627272727273,0.0,0.002057030303030303,-0.12682818181818184,588.030303030303,-1.5,0.0,0.0,0.08306136363636364,10.828159909090909,7990.0,8402.575757575758,8026.30303030303,8055.424242424242,7968.818181818182,8225.363636363636,8016.151515151515,7976.575757575758,-1.1096749696969697,1.0207825454545454,-1.268308484848485,0.26755399999999996,-0.24729536363636365,-0.3609051818181818,2.133333333333333e-05,-0.10232063636363636,-0.13143806060606059,-0.3029977878787879,0.05146233333333333,0.017200727272727274,-0.0039264545454545455,-0.02429418181818182,0.004180727272727273,-0.7015566363636363,0.10348596969696966,-11.242838545454545,0.12701236363636365,0.13733272727272727,0.06797466666666667,-1.1277761515151516,1.0298574242424243,-1.2553267575757576,0.07901057575757577,7126.0,-147.72727272727272,100.63636363636364,153.0
0 days 00:00:37.977687,-4.992297647058823,1.5042827647058825,-0.5943634117647059,0.3213659411764706,-0.24922679411764706,-0.4417002941176471,1.376523382352941,-0.19893776470588234,-1.2083783823529413,0.0022767647058823527,-0.10043764705882353,-0.13024314705882353,10.0,13.411764705882353,32.11764705882353,0.005831,0.047892,0.0,-0.026417029411764704,-0.363175,577.0882352941177,-1.5,0.0,0.0,0.21203264705882352,10.636316823529413,8038.176470588235,8013.176470588235,7900.529411764706,7869.941176470588,8023.117647058823,8052.058823529412,7912.470588235294,7846.794117647059,-1.0922976470588235,1.0042827647058825,-1.2943634117647058,0.3213659411764706,-0.24922679411764706,-0.4417002941176471,0.0022767647058823527,-0.10043764705882353,-0.13024314705882353,-0.303791,0.052321,0.017192,-0.003925,-0.0243,0.004188,-0.31821576470588236,0.023638676470588222,-11.087718235294117,0.044835676470588226,-0.11716591176470588,-0.008135617647058823,-1.119189,1.019087,-1.266567,0.085845,7001.588235294118,-47.05882352941177,157.7058823529412,-26.029411764705884
0 days 00:00:38.042687,-4.972795818181818,1.4876169696969699,-0.6238475454545453,0.3900811212121212,-0.2555889090909091,-0.5082713030303031,1.2948576363636364,-0.0020929696969696873,-0.298850303030303,0.007613696969696969,-0.10862472727272728,-0.13185506060606061,10.0,7.0,33.666666666666664,0.015246,0.0654378181818182,0.0,0.002057030303030303,-0.05942272727272728,580.0,-1.4460254545454545,0.0,0.0,-0.6553404545454544,9.585838545454546,7735.242424242424,7880.606060606061,7674.060606060606,7568.090909090909,7374.151515151515,7806.151515151515,7584.0,7221.333333333333,-1.0727958181818182,0.9876169696969698,-1.3238475454545453,0.3900811212121212,-0.2555889090909091,-0.5082713030303031,0.007613696969696969,-0.10862472727272728,-0.13185506060606061,-0.30586142424242424,0.05461030303030303,0.017119666666666665,-0.003923121212121212,-0.02431409090909091,0.004205848484848485,-0.403941696969697,0.1591500909090909,-10.174360757575757,0.05969609090909091,-0.17511542424242424,-0.011393242424242424,-1.0937689999999998,0.9958398181818181,-1.3011658181818184,0.09081533333333333,6349.090909090909,-396.72727272727275,187.0909090909091,48.90909090909091
