time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,att_phi,att_theta,att_psi,distance_est,centroid_x,centroid_y,divergence,true_divergence,divergence_sp,dt,raw_divergence,color_count,mu_x,p_output,i_output,mu_y, mu_z,rpm_obs_1,rpm_obs_2,rpm_obs_3,rpm_obs_4,rpm_ref_1,rpm_ref_2,rpm_ref_3,rpm_ref_4,ekf_X1,ekf_X2,ekf_X3,ekf_X4,ekf_X5,ekf_X6,ekf_X7,ekf_X8,ekf_X9,ekf_X10,ekf_X11,ekf_X12,ekf_X13,ekf_X14,ekf_X15,ekf_U1,ekf_U2,ekf_U3,ekf_U4,ekf_U5,ekf_U6,ekf_Z1,ekf_Z2,ekf_Z3,ekf_Z4,cmd_thrust,cmd_roll,cmd_pitch,cmd_yaw,pos_z_inverted
0 days 00:03:11.025925,-6.8800060882352945,-2.826740411764706,-0.2885146470588237,0.07314811764705882,0.023916176470588236,-0.06261499999999999,0.0005532352941176795,0.09599164705882357,-0.08438894117647056,0.009842911764705881,-0.010430529411764707,0.46588467647058823,0.578476,-7.0,-7.0,0.900436,0.180879,0.558489,0.0,0.900436,283.52941176470586,0.23860499999999998,0.48981699999999995,-0.251212,0.281778,10.043557,7554.735294117647,7563.794117647059,7385.029411764706,7416.823529411765,7544.176470588235,7610.058823529412,7364.264705882353,7407.794117647059,-1.880006088235294,-0.8267404117647059,-0.9885146470588236,0.07314811764705882,0.023916176470588236,-0.06261499999999999,0.009842911764705881,-0.010430529411764707,0.46588467647058823,-0.26903529411764704,0.13148735294117647,0.0035761764705882354,-0.0009782058823529414,-0.014964558823529412,-0.011945,-0.5903032941176471,0.24474367647058823,-9.89171644117647,0.020428852941176474,-0.05052267647058824,-0.03674311764705882,-1.8859562058823531,-0.8125081176470588,-0.9773669705882353,0.012508205882352942,6328.117647058823,-11.117647058823529,190.85294117647058,77.1470588235294,0.2885146470588237
0 days 00:03:11.090925,-6.8767392727272725,-2.8207583636363633,-0.2908067575757577,0.055406333333333335,0.03279872727272727,-0.05782545454545454,0.3689260606060606,0.14357336363636364,0.15183703030303033,0.01082251515151515,-0.01033030303030303,0.46529466666666663,0.578476,-7.0,-7.0,0.900436,0.180879,0.558489,0.0,0.900436,286.0,0.238605,0.489817,-0.251212,0.281778,10.043557,7478.848484848485,7633.878787878788,7351.393939393939,7442.757575757576,7465.666666666667,7622.545454545455,7360.030303030303,7481.727272727273,-1.8767392727272727,-0.8207583636363636,-0.9908067575757576,0.055406333333333335,0.03279872727272727,-0.05782545454545454,0.01082251515151515,-0.01033030303030303,0.46529466666666663,-0.269137,0.13156,0.003565,-0.000981,-0.014964,-0.011945,-0.23845878787878788,0.11425787878787876,-9.663056333333333,-0.026559545454545457,0.03878136363636364,-0.003469757575757576,-1.882995,-0.806104,-0.977448,0.01234,6329.393939393939,-17.606060606060606,123.03030303030303,196.72727272727272,0.2908067575757577
0 days 00:03:11.155925,-6.874154,-2.813077121212121,-0.2916218181818182,0.05981,0.04825187878787879,-0.05016751515151515,0.4373871818181818,0.006891393939393884,-0.05936193939393939,0.00800060606060606,-0.00799990909090909,0.4664253333333333,0.578476,-7.878787878787879,-7.0,0.900436,0.180879,0.558489,0.0,0.900436,293.030303030303,0.238605,0.489817,-0.251212,0.281778,10.043557,7487.545454545455,7602.272727272727,7355.454545454545,7477.484848484848,7497.848484848485,7598.242424242424,7370.969696969697,7471.30303030303,-1.874154,-0.8130771212121212,-0.9916218181818182,0.05981,0.04825187878787879,-0.05016751515151515,0.00800060606060606,-0.00799990909090909,0.4664253333333333,-0.2692816666666667,0.13166933333333336,0.0035470000000000002,-0.0009843333333333334,-0.014963333333333334,-0.011944333333333333,-0.21167733333333333,-0.012961666666666666,-9.875325545454546,-0.0586750909090909,0.007087545454545455,0.008115757575757577,-1.8802256666666666,-0.798114,-0.9771953333333332,0.011227333333333334,6332.333333333333,-0.06060606060606061,126.6969696969697,141.63636363636363,0.2916218181818182
0 days 00:03:11.220925,-6.870683294117647,-2.807091323529412,-0.29359497058823536,0.06137961764705883,0.04787229411764706,-0.04705855882352941,0.26330973529411766,-0.2071404117647059,0.07956364705882356,0.004485470588235294,-0.007279058823529412,0.46730538235294117,0.34028,-7.764705882352941,-6.794117647058823,0.5296682352941177,0.1063994117647059,0.3696994117647059,-0.00033241176470588234,0.5296682352941177,276.29411764705884,-0.3890558823529412,0.28812764705882354,-0.14777176470588235,0.2151635294117647,9.960327647058824,7515.264705882353,7557.411764705882,7415.411764705882,7500.0,7469.411764705882,7476.441176470588,7541.794117647059,7619.058823529412,-1.870683294117647,-0.8070913235294118,-0.9935949705882353,0.06137961764705883,0.04787229411764706,-0.04705855882352941,0.004485470588235294,-0.007279058823529412,0.46730538235294117,-0.269354,0.131724,0.003538,-0.000986,-0.014963,-0.011944,-0.4527516764705882,-0.09446802941176471,-9.727682735294119,-0.03476844117647058,-0.012838911764705882,-0.0057157647058823525,-1.878841,-0.794119,-0.977069,0.010671,6391.823529411765,35.11764705882353,-107.3529411764706,59.55882352941177,0.29359497058823536
0 days 00:03:11.285925,-6.8687143636363635,-2.797664363636364,-0.2929576363636365,0.0650629696969697,0.06404739393939393,-0.05036745454545455,0.3142330909090909,0.6026276363636364,-0.4271352727272727,0.009277818181818182,-0.029347818181818183,0.4671513333333333,0.0,-7.212121212121212,-6.212121212121212,0.0037659090909090906,0.008141666666666667,0.1,0.002571212121212121,0.03171818181818182,281.57575757575756,-1.5,0.0,0.0,0.9271931818181818,9.52508106060606,7471.333333333333,7283.727272727273,7567.181818181818,7856.757575757576,7546.272727272727,7306.333333333333,7325.212121212121,7726.636363636364,-1.8687143636363637,-0.7976643636363636,-0.9929576363636364,0.0650629696969697,0.06404739393939393,-0.05036745454545455,0.009277818181818182,-0.029347818181818183,0.4671513333333333,-0.26953757575757575,0.13187684848484849,0.003512,-0.0009899393939393937,-0.014962212121212121,-0.011943212121212122,-0.27109960606060607,0.5589488787878788,-10.248490787878788,0.2353515757575758,-0.8205641212121212,-0.015824696969696968,-1.8766948181818182,-0.7838781515151515,-0.9760400303030304,0.009437181818181819,6320.393939393939,320.1515151515151,-99.54545454545455,113.96969696969697,0.2929576363636365
0 days 00:03:11.350925,-6.865819757575758,-2.7887282727272726,-0.29406727272727284,0.06988336363636363,0.10175848484848485,-0.056323333333333336,0.4069346666666667,0.3702546363636363,0.36219857575757575,0.05417339393939394,-0.0939209090909091,0.46496333333333334,10.0,-7.2727272727272725,-6.0,0.00963330303030303,0.011023121212121212,0.0,0.002056969696969697,0.08132278787878788,284.1818181818182,-1.5,0.0,0.0,0.9235568181818182,9.507224333333333,7575.848484848485,7623.363636363636,7084.939393939394,7512.0,7530.818181818182,7833.818181818182,7132.212121212121,7374.666666666667,-1.8658197575757576,-0.7887282727272728,-0.9940672727272728,0.06988336363636363,0.10175848484848485,-0.056323333333333336,0.05417339393939394,-0.0939209090909091,0.46496333333333334,-0.26977954545454547,0.1319769090909091,0.003496,-0.0009923636363636363,-0.014962,-0.011942727272727273,-0.8911873030303029,-0.11600375757575758,-9.44513487878788,1.0464977272727272,-0.9745131212121212,-0.005326636363636362,-1.8752573636363636,-0.7773159090909091,-0.9750945454545454,0.029407363636363634,6308.757575757576,-30.21212121212121,428.1818181818182,385.0,0.29406727272727284
0 days 00:03:11.415925,-6.862441909090909,-2.7753599696969697,-0.2931205757575758,0.10924957575757577,0.17017769696969698,-0.04383239393939394,1.2977905454545455,1.5967726363636363,-0.30309515151515154,0.11042606060606061,-0.1316979696969697,0.46437257575757573,10.0,-7.03030303030303,-5.9393939393939394,0.024203,0.011886,0.0,-0.02721742424242424,0.204619,290.72727272727275,-1.5,0.0,0.0,0.11954545454545454,9.761189484848485,7379.666666666667,8146.0,7469.333333333333,7228.333333333333,7385.121212121212,8051.363636363636,7537.393939393939,7258.454545454545,-1.862441909090909,-0.7753599696969697,-0.9931205757575757,0.10924957575757577,0.17017769696969698,-0.04383239393939394,0.11042606060606061,-0.1316979696969697,0.46437257575757573,-0.270293,0.132134,0.003472,-0.000996,-0.014962,-0.011942,-0.008996212121212094,-0.03926969696969698,-10.310783696969697,0.31239636363636364,-0.21595348484848487,0.05416972727272727,-1.872965,-0.767169,-0.973312,0.083547,6436.121212121212,-471.8181818181818,319.72727272727275,273.3939393939394,0.2931205757575758
0 days 00:03:11.480925,-6.856327264705882,-2.753863470588235,-0.29189535294117663,0.15357320588235293,0.2817423529411765,-0.08120844117647058,1.0179265882352941,1.1871598823529412,-0.6894304705882354,0.08488264705882353,-0.12956032352941177,0.4677541176470588,10.0,8.0,-5.0,0.024203,0.011886,0.0,0.0,0.204619,302.0,-1.5,0.0,0.0,0.105,9.916341,7592.470588235294,7799.411764705882,7677.558823529412,7413.088235294118,7663.64705882353,7682.529411764706,7659.794117647059,7509.441176470588,-1.8563272647058824,-0.7538634705882352,-0.9918953529411766,0.15357320588235293,0.2817423529411765,-0.08120844117647058,0.08488264705882353,-0.12956032352941177,0.4677541176470588,-0.27128105882352943,0.13233782352941173,0.0034428823529411767,-0.0010008529411764705,-0.014961999999999998,-0.011942,-0.4640682941176471,-0.027774588235294138,-10.607967588235296,-0.8693415882352942,0.14066808823529411,0.007051294117647059,-1.866926,-0.7463159117647059,-0.9708729117647058,0.1299304411764706,6536.0,-84.44117647058823,88.3529411764706,-92.79411764705883,0.29189535294117663
0 days 00:03:11.545925,-6.846404424242424,-2.7307831818181816,-0.2958546666666668,0.192102303030303,0.3465961212121212,-0.14806730303030302,1.126108515151515,0.560863,-2.119980787878788,0.022618515151515153,-0.11939881818181818,0.46734569696969697,10.0,15.909090909090908,-3.242424242424242,0.007884090909090908,0.027777272727272727,0.0,0.0020569090909090906,-0.1164349393939394,295.8484848484849,-1.5,0.0,0.0,-0.48296096969696967,11.61772112121212,8310.363636363636,8132.272727272727,8137.575757575758,8111.757575757576,8511.727272727272,8399.181818181818,8343.121212121212,8396.09090909091,-1.8464044242424242,-0.7307831818181818,-0.9958546666666668,0.192102303030303,0.3465961212121212,-0.14806730303030302,0.022618515151515153,-0.11939881818181818,0.46734569696969697,-0.2715871818181818,0.13256163636363635,0.003422909090909091,-0.0010026969696969696,-0.014962,-0.011942424242424242,-0.6962594848484848,0.022845666666666695,-11.988547575757575,-0.8741418484848484,0.12691606060606062,-0.051483999999999995,-1.861311,-0.731974606060606,-0.9709733636363637,0.12624127272727273,7642.424242424242,82.60606060606061,85.6969696969697,-42.0,0.2958546666666668
0 days 00:03:11.610925,-6.833955515151516,-2.704337818181818,-0.3082477878787879,0.25773942424242424,0.36514860606060606,-0.36713036363636364,1.6740971212121212,-0.2708472727272727,-3.743356878787879,-0.024093606060606062,-0.11008578787878788,0.4649402424242424,10.0,16.636363636363637,-2.6363636363636362,-0.0017420000000000005,0.036012666666666665,0.0,0.0025714848484848485,-0.17021433333333336,292.09090909090907,-1.5,0.0,0.0,-0.43089066666666664,11.284718999999999,8642.121212121212,8530.333333333334,8402.939393939394,8640.242424242424,8313.333333333334,8196.939393939394,8078.424242424242,8447.454545454546,-1.8339555151515152,-0.7043378181818182,-1.0082477878787879,0.25773942424242424,0.36514860606060606,-0.36713036363636364,-0.024093606060606062,-0.11008578787878788,0.4649402424242424,-0.271962,0.132857,0.003397,-0.001005,-0.014962,-0.011943,-0.6993962424242425,-0.368045696969697,-13.640743363636364,-0.5431980909090909,0.1253550606060606,-0.05201672727272728,-1.853939,-0.713369,-0.9712100000000001,0.119327,7425.666666666667,242.36363636363637,-7.757575757575758,178.33333333333334,0.3082477878787879
