time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,att_phi,att_theta,att_psi,distance_est,centroid_x,centroid_y,divergence,true_divergence,divergence_sp,pitch_sum,raw_divergence,color_count,cmd_thrust,cmd_roll,cmd_pitch,cmd_yaw,pos_z_inverted
0 days 00:00:28.445191,-1.943596606060606,0.5549715757575757,-0.9194394545454545,-0.008451363636363637,-0.004973393939393939,-0.011681424242424243,-0.004085757575757576,-0.0038301212121212122,0.012753212121212122,-0.0008614545454545455,0.0012187575757575757,0.00024266666666666664,10.0,-55.0,38.0,0.0,0.0,0.0,0.0,0.0,2820.0,6504.0,-0.6060606060606061,30.0,0.8181818181818182,0.9194394545454545
0 days 00:00:28.510191,-1.9441639393939394,0.5546349696969697,-0.920183909090909,-0.008720757575757576,-0.005216333333333334,-0.010878484848484847,-0.003969787878787879,-0.0035625757575757575,0.011668757575757575,-0.0008571515151515151,0.0012313636363636363,0.0002510909090909091,10.0,-55.0,38.0,0.0,0.0,0.0,0.0,0.0,2783.757575757576,6504.212121212121,2.696969696969697,32.21212121212121,-0.06060606060606061,0.920183909090909
0 days 00:00:28.575191,-1.944757294117647,0.5542741176470588,-0.9207939411764707,-0.008931264705882354,-0.005783323529411764,-0.0063202647058823525,0.0007831764705882354,-0.03533205882352941,0.04610514705882353,-0.004345323529411765,0.0007410588235294117,0.0002043529411764706,10.0,-50.14705882352941,34.64705882352941,-0.0006705882352941176,-0.0027607647058823528,0.0,0.01282055882352941,-0.0030025588235294116,2528.0588235294117,6552.764705882353,-701.3823529411765,-214.0,-52.85294117647059,0.9207939411764707
0 days 00:00:28.640191,-1.9452953030303028,0.5535309696969697,-0.9214458181818181,-0.005565606060606061,-0.022406212121212122,-0.015604939393939393,0.14398057575757575,-0.5774876363636364,-0.10098821212121212,-0.06227887878787879,-0.014744848484848486,-0.0005905151515151516,10.0,-52.90909090909091,39.39393939393939,0.028774,-0.0025726666666666667,0.0,-0.1364390909090909,0.12964766666666666,2824.969696969697,6465.363636363636,348.09090909090907,-139.36363636363637,-235.12121212121212,0.9214458181818181
0 days 00:00:28.705191,-1.9451012121212121,0.5502057575757576,-0.9221986969696969,0.014888545454545455,-0.08411342424242424,-0.002967060606060606,0.48116554545454543,-1.1888060606060606,0.24668215151515152,-0.13194860606060607,-0.05219133333333333,-0.00041239393939393937,10.0,-46.18181818181818,41.93939393939394,0.03572509090909091,0.0009054545454545456,0.0,-1.2288223939393939,0.09440709090909091,2842.181818181818,6521.757575757576,557.0,252.1818181818182,-49.18181818181818,0.9221986969696969
0 days 00:00:28.770191,-1.9427502647058823,0.5417561764705882,-0.9222854705882353,0.057264176470588235,-0.165646,-0.005076147058823529,0.7380120882352941,-1.148264911764706,-0.19143517647058825,-0.12880976470588235,-0.07919141176470589,0.0004822352941176471,10.0,-35.88235294117647,43.411764705882355,0.022365264705882355,0.011796058823529411,0.0,-3.48866,-0.015870617647058823,2834.823529411765,6698.911764705882,170.41176470588235,159.47058823529412,78.08823529411765,0.9222854705882353
0 days 00:00:28.835191,-1.9371768484848486,0.5283262121212121,-0.9229306969696971,0.10882245454545454,-0.229248,-0.011097606060606061,0.7776854242424243,-0.7062736363636364,0.06268930303030304,-0.09270654545454546,-0.08999439393939394,0.00042963636363636365,10.0,-31.606060606060606,41.60606060606061,0.021866333333333335,0.027138,0.0,-6.3495162121212125,0.021527666666666667,2843.757575757576,6438.212121212121,40.27272727272727,115.12121212121212,105.75757575757575,0.9229306969696971
0 days 00:00:28.900191,-1.928290484848485,0.5120545454545454,-0.923278,0.15884284848484848,-0.25682539393939396,0.0031774242424242424,0.7217214242424242,-0.1588808787878788,0.32423290909090907,-0.04098075757575758,-0.0913788484848485,0.00026424242424242427,10.0,-31.484848484848484,39.54545454545455,0.02173172727272727,0.04107272727272727,0.0,-9.37912593939394,0.023750545454545455,2849.939393939394,6270.30303030303,-225.5151515151515,209.27272727272728,105.54545454545455,0.923278
0 days 00:00:28.965191,-1.9163206363636365,0.49502324242424245,-0.9222154848484849,0.20083242424242423,-0.2553858787878788,0.03028390909090909,0.5400742727272727,0.15373366666666666,0.4802758181818182,-0.008598030303030304,-0.07775257575757576,0.00012666666666666666,10.0,-33.36363636363637,37.18181818181818,0.016063666666666664,0.05574218181818182,0.0,-12.198915696969696,-0.00383721212121212,2846.5454545454545,6137.484848484848,-110.3030303030303,-62.42424242424242,58.03030303030303,0.9222154848484849
0 days 00:00:29.030191,-1.9017687352941177,0.478367,-0.9189092941176471,0.23061805882352943,-0.2403695882352941,0.07014423529411765,0.37054488235294114,0.26849458823529415,0.7014920294117647,0.005122294117647059,-0.06450667647058823,0.00011379411764705883,10.0,-38.529411764705884,34.61764705882353,0.008521294117647057,0.07081570588235295,0.0,-14.552056882352941,-0.005271000000000001,2841.9411764705883,5975.323529411765,-142.5,-80.3529411764706,13.264705882352942,0.9189092941176471
