time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,att_phi,att_theta,att_psi,distance_est,centroid_x,centroid_y,divergence,true_divergence,divergence_sp,pitch_sum,raw_divergence,color_count,rpm_obs_1,rpm_obs_2,rpm_obs_3,rpm_obs_4,rpm_ref_1,rpm_ref_2,rpm_ref_3,rpm_ref_4,ekf_X1,ekf_X2,ekf_X3,ekf_X4,ekf_X5,ekf_X6,ekf_X7,ekf_X8,ekf_X9,ekf_X10,ekf_X11,ekf_X12,ekf_X13,ekf_X14,ekf_X15,ekf_U1,ekf_U2,ekf_U3,ekf_U4,ekf_U5,ekf_U6,ekf_Z1,ekf_Z2,ekf_Z3,ekf_Z4,cmd_thrust,cmd_roll,cmd_pitch,cmd_yaw,pos_z_inverted
0 days 00:02:34.834583,-2.3166554545454545,-0.9384485454545455,-0.3175897878787879,0.048755090909090915,-0.013916242424242423,-0.05237109090909091,0.1380135757575758,-0.14207221212121213,0.11232781818181817,-0.004340212121212121,-0.02194639393939394,0.03219093939393939,0.457298,-15.0,-57.0,0.3717,0.250794,0.314107,-12.55737,0.3717,2174.3030303030305,7748.878787878788,7787.090909090909,7491.424242424242,7477.272727272727,7844.060606060606,7852.272727272727,7331.121212121212,7409.666666666667,1.6833445454545455,0.06155145454545454,-1.0175897878787878,0.048755090909090915,-0.013916242424242423,-0.05237109090909091,-0.004340212121212121,-0.02194639393939394,0.03219093939393939,0.045043999999999994,-0.028335151515151515,0.3575929696969697,0.03687984848484849,-0.01612160606060606,0.011300151515151515,-0.16628200000000004,-0.03595524242424243,-9.343335787878788,0.004120818181818183,-0.1573819696969697,0.0011393030303030298,1.6592169090909092,0.0665300909090909,-1.014356,0.015553484848484848,6508.454545454545,35.18181818181818,476.90909090909093,61.333333333333336,0.3175897878787879
0 days 00:02:34.899583,-2.318054484848485,-0.9382917878787879,-0.32026299999999996,0.038416757575757576,-0.013620969696969697,-0.030962909090909093,0.4115294242424242,-0.14151927272727274,0.08136715151515153,-0.002648060606060606,-0.019876181818181817,0.0318290303030303,0.457298,-15.0,-57.0,0.3717,0.250794,0.314107,-12.55737,0.3717,2171.151515151515,7649.515151515152,7804.484848484848,7480.30303030303,7539.848484848485,7632.090909090909,7768.060606060606,7495.212121212121,7573.121212121212,1.681945515151515,0.06170821212121212,-1.020263,0.038416757575757576,-0.013620969696969697,-0.030962909090909093,-0.002648060606060606,-0.019876181818181817,0.0318290303030303,0.0450150303030303,-0.028262060606060607,0.3575897575757576,0.03687890909090909,-0.01612518181818182,0.011301090909090908,0.09271424242424245,-0.06516333333333332,-9.381717575757575,0.04891687878787878,0.07049015151515152,0.028357272727272727,1.658862393939394,0.06756369696969697,-1.0155780606060607,0.019934969696969694,6519.454545454545,-29.0,165.75757575757575,151.0,0.32026299999999996
0 days 00:02:34.964583,-2.3225827647058823,-0.9365110882352942,-0.3216047941176472,0.034447323529411766,-0.012251794117647059,-0.02749041176470588,-0.23091732352941174,-0.13651191176470587,0.27465502941176473,-0.0013893823529411765,-0.01679770588235294,0.03243882352941176,0.457298,-14.676470588235293,-57.0,0.3717,0.250794,0.314107,-12.55737,0.3717,2166.705882352941,7663.558823529412,7772.117647058823,7507.205882352941,7527.470588235294,7648.823529411765,7804.264705882353,7503.235294117647,7514.029411764706,1.6774172352941177,0.06348891176470588,-1.0216047941176472,0.034447323529411766,-0.012251794117647059,-0.02749041176470588,-0.0013893823529411765,-0.01679770588235294,0.03243882352941176,0.044984,-0.028136,0.357582,0.036876,-0.016131,0.011304,-0.4887121470588235,-0.09383614705882352,-9.16857194117647,0.053244205882352943,-0.044541294117647054,0.019373235294117646,1.659899,0.06989,-1.018396,0.014814,6520.058823529412,-72.26470588235294,217.5,117.29411764705883,0.3216047941176472
0 days 00:02:35.029583,-2.3230377272727276,-0.9360667575757575,-0.3227336363636364,0.012723818181818182,-0.012902969696969697,-0.01428169696969697,0.15720209090909085,-0.0670479393939394,-0.0022464545454545523,-0.003471969696969697,-0.02054433333333333,0.033054424242424246,0.457298,-14.121212121212121,-57.0,0.3717,0.250794,0.314107,-12.55737,0.3717,2164.121212121212,7712.909090909091,7721.939393939394,7497.606060606061,7523.69696969697,7707.909090909091,7731.818181818182,7557.393939393939,7497.969696969697,1.6769622727272726,0.06393324242424242,-1.0227336363636363,0.012723818181818182,-0.012902969696969697,-0.01428169696969697,-0.003471969696969697,-0.02054433333333333,0.033054424242424246,0.044969575757575764,-0.02809060606060606,0.35757945454545453,0.036874727272727274,-0.016132696969696967,0.011305272727272726,-0.10215433333333328,-0.01719351515151516,-9.454959818181818,0.050293060606060605,-0.1065859393939394,-0.0006658787878787877,1.6614084545454546,0.0710850909090909,-1.0193895757575757,0.015112242424242426,6528.909090909091,-41.57575757575758,191.72727272727272,-25.09090909090909,0.3227336363636364
0 days 00:02:35.094583,-2.3253073939393936,-0.9350325757575757,-0.3230206666666666,0.0059510303030303035,-0.012328545454545453,0.0003773333333333333,0.16425684848484845,-0.042712575757575755,0.19058048484848486,-0.00461369696969697,-0.027656727272727274,0.032261848484848483,0.457298,-15.0,-57.0,0.3717,0.250794,0.314107,-12.55737,0.3717,2173.060606060606,7704.121212121212,7749.333333333333,7471.69696969697,7548.484848484848,7735.363636363636,7747.757575757576,7494.636363636364,7547.969696969697,1.6746926060606062,0.06496742424242424,-1.0230206666666666,0.0059510303030303035,-0.012328545454545453,0.0003773333333333333,-0.00461369696969697,-0.027656727272727274,0.032261848484848483,0.04495,-0.028029,0.357576,0.036873,-0.016135,0.011307,-0.14669151515151513,0.02843869696969697,-9.262813696969696,0.017378363636363636,-0.12116775757575758,0.009040666666666667,1.663457,0.072707,-1.020738,0.015517,6539.636363636364,20.363636363636363,220.06060606060606,46.36363636363637,0.3230206666666666
0 days 00:02:35.159583,-2.3257205588235292,-0.9329050882352942,-0.32236164705882353,0.011737705882352942,-0.006742529411764706,0.013982029411764706,0.3340485,-0.02111732352941177,0.1690344117647059,-0.004000705882352941,-0.03474691176470588,0.03194211764705883,0.457298,-14.970588235294118,-57.0,0.3717,0.250794,0.314107,-12.55737,0.3717,2202.0,7694.558823529412,7834.205882352941,7445.441176470588,7526.764705882353,7743.058823529412,7813.911764705882,7439.85294117647,7561.088235294118,1.6742794411764705,0.06709491176470588,-1.0223616470588235,0.011737705882352942,-0.006742529411764706,0.013982029411764706,-0.004000705882352941,-0.03474691176470588,0.03194211764705883,0.0448515294117647,-0.027921,0.3575752058823529,0.036870617647058825,-0.01613579411764706,0.011309382352941176,-0.05164294117647059,0.04664523529411764,-9.289321029411765,-0.005967117647058824,-0.08473123529411765,0.02638879411764706,1.6695947352941176,0.07512667647058824,-1.0217084117647057,0.023502647058823527,6551.0,25.058823529411764,277.5882352941176,135.47058823529412,0.32236164705882353
0 days 00:02:35.224583,-2.3245857272727273,-0.9318383939393939,-0.321372393939394,0.022084515151515154,-0.004070575757575758,0.021022848484848485,0.038530545454545505,-0.0930789393939394,0.24547263636363637,-0.0050553636363636365,-0.03742830303030303,0.03207681818181818,0.457298,-14.0,-57.0,0.3717,0.250794,0.314107,-12.55737,0.3717,2169.0,7724.69696969697,7792.606060606061,7489.151515151515,7529.363636363636,7757.030303030303,7818.818181818182,7465.575757575758,7529.636363636364,1.6754142727272727,0.06816160606060606,-1.021372393939394,0.022084515151515154,-0.004070575757575758,0.021022848484848485,-0.0050553636363636365,-0.03742830303030303,0.03207681818181818,0.044798000000000004,-0.027872636363636363,0.3575764545454545,0.03686945454545454,-0.01613581818181818,0.011310363636363637,-0.35609015151515155,-0.019679181818181818,-9.200254515151515,0.017245272727272727,-0.04852478787878788,0.0032921515151515153,1.6727852727272727,0.07624763636363636,-1.0223974545454546,0.02494009090909091,6555.69696969697,1.2121212121212122,289.8484848484849,88.81818181818181,0.321372393939394
0 days 00:02:35.289583,-2.322002484848485,-0.9294071515151515,-0.3202623030303031,0.029697030303030305,-0.008830666666666667,0.030145272727272725,0.4619232424242424,-0.2277359696969697,-0.09927857575757573,-0.005258333333333333,-0.03711360606060606,0.031141969696969696,0.457298,-13.181818181818182,-57.0,0.3717,0.250794,0.314107,-12.55737,0.3717,2196.818181818182,7699.181818181818,7787.121212121212,7496.515151515152,7582.878787878788,7681.757575757576,7786.969696969697,7507.151515151515,7614.272727272727,1.6779975151515152,0.07059284848484848,-1.020262303030303,0.029697030303030305,-0.008830666666666667,0.030145272727272725,-0.005258333333333333,-0.03711360606060606,0.031141969696969696,0.044672,-0.027781,0.357583,0.036867,-0.016135,0.011312,0.06149378787878786,-0.1415127575757576,-9.564778575757575,0.04023142424242424,0.028127969696969696,-0.001220727272727273,1.679982,0.078469,-1.024366,0.022092,6562.484848484848,0.9393939393939394,173.27272727272728,149.78787878787878,0.3202623030303031
0 days 00:02:35.354583,-2.316777878787879,-0.9277961818181818,-0.3197955454545456,0.05664548484848485,-0.010405242424242424,0.01695812121212121,0.6193742121212121,-0.16104196969696968,-0.5236201818181818,-0.004815030303030304,-0.036237727272727276,0.03134724242424242,0.457298,-13.0,-57.0,0.3717,0.250794,0.314107,-12.55737,0.3717,2210.2727272727275,7696.212121212121,7822.151515151515,7436.969696969697,7595.787878787879,7718.454545454545,7841.363636363636,7451.212121212121,7557.121212121212,1.6832221212121212,0.07220381818181817,-1.0197955454545455,0.05664548484848485,-0.010405242424242424,0.01695812121212121,-0.004815030303030304,-0.036237727272727276,0.03134724242424242,0.04455681818181819,-0.027720545454545453,0.3575938181818181,0.03686509090909091,-0.01613309090909091,0.011313272727272727,0.22159093939393934,-0.0781249090909091,-9.994022363636363,0.06706466666666668,-0.0063403333333333315,0.013183636363636364,1.6884418181818184,0.08044554545454545,-1.025841090909091,0.022232,6554.575757575758,-8.454545454545455,275.24242424242425,161.45454545454547,0.3197955454545456
0 days 00:02:35.419583,-2.310717411764706,-0.927076205882353,-0.31977526470588247,0.07424770588235294,-0.010621117647058823,0.00912285294117647,0.04254997058823526,-0.11318270588235295,0.2111912941176471,-0.004751617647058824,-0.03335432352941176,0.031303058823529406,0.457298,-13.705882352941176,-57.0,0.3717,0.250794,0.314107,-12.55737,0.3717,2211.705882352941,7669.235294117647,7794.14705882353,7436.058823529412,7646.941176470588,7634.85294117647,7761.970588235294,7477.558823529412,7671.705882352941,1.6892825882352942,0.07292379411764706,-1.0197752647058824,0.07424770588235294,-0.010621117647058823,0.00912285294117647,-0.004751617647058824,-0.03335432352941176,0.031303058823529406,0.04448555882352941,-0.02768435294117647,0.3576006176470588,0.03686391176470588,-0.016131852941176472,0.011314058823529411,-0.2691004117647059,-0.040469970588235295,-9.23552394117647,0.0397374705882353,0.08391976470588235,0.024550441176470587,1.693761588235294,0.08166194117647059,-1.0267585588235293,0.022145617647058823,6546.85294117647,33.529411764705884,123.61764705882354,226.88235294117646,0.31977526470588247
